Knockdown (Log10 of M41 HMFF/N99mode HMFF)	HMFF	Model	exer 01	exer 02	exer 03	exer 04	exer 05	exer 06	exer 07	exer 08	exer 09	exer 10	exer 11	exer 12	Notes	Tester	Test Date	MJA(cm) Max Jaw Amplitude	DeclaredProtocol	Acode	NON-3NF - LegacyCerts	NON-3NF - AttachmentType (non normalized, this should go in model table)
2.4	229.2	mod, Zekler 1502 small	383	94	337	329	166	371	389						Custom straps inserted with cordlock, good tension test 1	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	4	FFP2	
2	97.5	MOD-chinstaple) TridentRTCFFP2regular	112	62	123	180	38	193	204	145						Tester_0029	2023_12_17		OSHA+grimace			
2.4	237	MOD-chinstaple) TridentRTCFFP2regular	243	197	236	304	260	156	240	227	240	283	225	341		Tester_0029	2023_12_17	2.5	Crash2.5			
2.4	269.1	MOD-chinstaple) TridentRTCFFP2regular	204	245	229	344	427	259	255	212	310	361	248	288		Tester_0029	2023_12_17	2.5	Crash2.5			
2.1	128.4	MOD-chinstaple) TridentRTCFFP2regular	235	98	375	251	40	129	228	247						Tester_0029	2023_12_17		OSHA+grimace			
2.2	164.6	MOD-chinstaple+top headstrap replacement) TridentRTCFFP2regular	259	87	210	164	84	386	214	310						Tester_0029	2023_12_17		OSHA+grimace			
2.3	203.6	MOD-chinstaple+top headstrap replacement) TridentRTCFFP2regular	262	260	296	395	44	268	342	374	309	329	280	290		Tester_0029	2023_12_17	2.5	Crash2.5			
2.4	276.8	MOD-chinstaple+top headstrap replacement) TridentRTCFFP2regular	199	287	207	306	254	245	405	329	261	288	316	364		Tester_0029	2023_12_17	2.5	Crash2.5			
2	109.3	MOD-chinstaple+top headstrap replacement) TridentRTCFFP2regular	180	85	116	256	64	147	65	181						Tester_0029	2023_12_17		OSHA+grimace			
1.5	35.4	MOD-chinstaple+top headstrap replacement) TridentRTCFFP2regular	174	61	95	139	30	7.5	81	142						Tester_0029	2023_12_17		OSHA+grimace			
2.3	191.7	MOD-chinstaple+top headstrap replacement) TridentRTCFFP2regular	201	250	154	201	230	172	198	268	144	158	213	191		Tester_0029	2023_12_17	2.5	Crash2.5			
2.3	210.9	MOD-chinstaple+top headstrap replacement) TridentRTCFFP2regular	281	214	215	205	257	199	219	180	203	180	246	180		Tester_0029	2023_12_17	2.5	Crash2.5			
1.5	32.3	Moldex 2600N95	45	27	32	58	40	27	56	45	39	40	29	13		Tester_FTTP_AM			CrashUM	1	N95	H
1.3	21.5	Moldex 2600N95	57	26	53	17	22	33	15	20	19	22	14	16	amb, 4 david byrne	Tester_FTTP_AM	2023_03_24		Crash	1	N95	H
1.1	11.3	Moldex 4200N95	15	10	9.3	13	10	11	9.1	14	12	9.9	13	13		Tester_FTTP_AM			CrashUM	1	N95	H
0.5	3.5	Moldex M4600	3.4	3.4	3	3.3	3.7	4	3.6	3.1	4	3.4	3.3	3.7	no activity	Tester_FTTP_AF	2023_07_24			1	N95	H
0.8	6	Moldex M4600	16	15	6.5	8.2	5.1	4.4	7	4.9	3.2				interrupted - baby	Tester_FTTP_AM	2023_07_24	2.5	Crash2.5	1	N95	H
0.8	5.7	Moldex M4600	11	11	9.4	8.2	4.4	6.2	6.3	5.5	6.6	4.4	3.5	3.5		Tester_FTTP_AM	2023_07_24	2.5	Crash2.5	1	N95	H
0.7	4.6	Moldex M4600	6.5	7.1	9	8.6	7.3	3.4	3.1	3.7	4.1	4.5	3.4	3.6		Tester_FTTP_AM	2023_07_24	2.5	Crash2.5	1	N95	H
1	10.4	Moldex M4600 extended 2.5cm test 01	22	9.6	14	16	12	14	8.7	9.9	9	9.1	8	6.4		Tester_FTTP_AM	2023_07_24	2.5	Crash2.5	2	N95	H
0.7	5.2	Moldex M4600 extended 2.5cm test 02	7.4	7.1	7	5.9	5.2	4.7	8.9	5.5	4.6	3.7	4.1	3.3		Tester_FTTP_AM	2023_07_24	2.5	Crash2.5	2	N95	H
0.5	2.9	Morgan Fairchild's amazon KF94	2.7	3.2	2.2	2.7	2.8	3.6	3.6	2.5	2.7	3.1	2.8	3.9		Tester_FTTP_AF	2023_04_02			1		E
0.4	2.4	Morgan Fairchild's amazon KF94	2.2	2.3	2.2	2.5	2.1	2.5	2.6	2.4	2.5	2.7	2.3	2.2		Tester_FTTP_AM	2023_04_02		Crash	1		E
0.5	3.5	Morgan Fairchild's amazon KF94, non-adversarial	4	4.8	4.3	3.8	3.7	2.8	1.9	4.4	4.1	3.3	3.8	3.2		Tester_FTTP_AF	2023_04_02			0		E
0.7	5	NewCleanWell Yellowdust Mask KF 94 - Large	5												New	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1		
2.2	174.4	NON ADVERSARIAL FUDAKIN	117	141	163	211	146	279	172	244	187	181	187	174		Tester_FTTP_AM	2023_07_13		Crash	0	KN95	
1.7	52.9	Non adversarial, Cambridge Pro S NV	56	52	51	53									STATIC ONLY, NO EXERCISES. False high?	Tester_CA_4M	2023_06_15		CrashUMshort	0		
1.2	14.8	Non adversarial, Softseal V-Fold S	15	13	18	14										Tester_CA_4M	2023_05_22		CrashUMshort	0		
2.4	235.8	non-adversarial, 3M Aura 9205+	1035	923	228	337	593	202	442	360	178	147	90	159		Tester_0025	2023_11_09			0	N95	
2.3	202.5	non-adversarial, 3M Aura 9205+	312	300	184	426	219	240	335	125	128	234	158	147		Tester_0025	2023_11_09			0	N95	
2.3	189.1	non-adversarial, 3M Aura 9320D+	341	130	289	202	97	171	220	307	192	316	151	183		Tester_0025	2023_11_09			0	FFP2	
2.2	170.4	non-adversarial, 3M Aura 9320D+	211	205	116	143	144	98	162	129	279	260	275	326		Tester_0025	2023_11_09			0	FFP2	
3.5	3021.6	non-adversarial, 3M Aura 9330+	3668	2156	2735	3455	1790	5365	5971	2311	3006	4487	2348	3950		Tester_0025	2023_11_09			0	FFP3	
3.4	2651.9	non-adversarial, 3M Aura 9330+	2828	1320	2625	1518	4988	2978	3832	3178	3702	3775	2648	2861		Tester_0025	2023_11_09			0	FFP3	
2.3	196.4	non-adversarial, AOK Tooling Softseal large cup PN-20180022-L	264	140	167	244	276	275	176	149	327	152	259	144		Tester_FTTP_AM	2023_07_02	2.5	Crash2.5	0	N95	
2.2	159.1	non-adversarial, AOK Tooling Softseal large cup PN-20180022-L	196	48	281	203	228	267	165	135	240	174	172	272		Tester_FTTP_AM	2023_07_02	2.5	Crash2.5	0	N95	
2.2	147	non-adversarial, AOK Tooling Softseal large cup PN-20180022-L	297	187	262	231	240	134	284	127	290	35	197	215		Tester_FTTP_AM	2023_07_02	2.5	Crash2.5	0	N95	
1.4	25.7	non-adversarial, Breatheteq BR95 small	126	36	124	87	120	22	44	26	19	13	11	13		Tester_FTTP_AF	2023_06_16			0		
2.7	500.3	non-adversarial, Drager1930small	498	461	456	480	501	519	552	436	505	582	493	562	mask528 non-adversarial, purge3	Tester_FTTP_AM	2023_03_14			0	FFP3	
2.6	415.3	non-adversarial, Drager1930small	347	450	382	487	411	468	545	464	367	403	431	330	mask528 non-adversarial, purge2	Tester_FTTP_AM	2023_03_14			0	FFP3	
2.4	266.4	non-adversarial, Drager1930small	186	224	245	224	266	173	439	383	324	269	360	378	mask528 non-adversarial, purge1	Tester_FTTP_AM	2023_03_14			0	FFP3	
2.7	452	non-adversarial, Drager1950small	402	2000	2540	4380	268	736	189	392	350	375	305	829		Tester_FTTP_AM	2023_04_25			0	FFP3	
1.3	22	non-adversarial, Ginensys Med GM03 Black	45	43	106	72	72	47	44	5	21	19	14	21		Tester_0025	2023_11_09			0		
0.6	4.4	non-adversarial, Ginensys Med GM03 Black	21	14	17	16	4	7	3	4	6	3	2	2		Tester_0025	2023_11_09			0		
1.9	77.6	non-adversarial, heavily used 3M Aura 9320+	145	105	91	87	51	95	77	117	57	68	49	87	very old, worn	Tester_0025	2023_11_09			0	FFP2	
1.8	62.2	non-adversarial, heavily used 3M Aura 9320+	96	56	41	119	37	164	126	32	127	62	109	38	very old, worn	Tester_0025	2023_11_09			0	FFP2	
0.9	8.2	non-adversarial, Laianzhi YX011	15	12	23	22	16	5.8	8.7	8.4	9.1	5.3	4	4.8	(sent in by LL) static test	Tester_FTTP_AM	2023_03_31		Crash	0	FFP2	
1.5	28.5	Non-adversarial, overtightened on ears, Cambridge Pro S NV	28	25	32	30									Double ported, tightened, static	Tester_CA_4M	2023_06_15		CrashUMshort	0		
2.3	186.4	Non-Adversarial, Pinztec RTCFFP2S	193	163	221	178										Tester_CA_4M	2023_05_29		CrashUMshort	0	KN95	
2.2	160.1	Non-Adversarial, Pinztec RTCFFP2S	182	182	139	147										Tester_CA_4M	2023_05_29		CrashUMshort	0	KN95	
2.6	370.7	non-adversarial, Readimask yellow N95 size L static, regular breathing	433	373	369	450	201	505	323	622					Concave screen ensuring airflow to probe	Tester_LP_AF	2023_08_26		Experiment	0	N95	
2.5	286.3	non-adversarial, Readimask yellow N95 size L whispering passage on exercise 5	400	178	266	368	166	441	281	667					Concave screen ensuring airflow to probe	Tester_LP_AF	2023_08_26		OSHA plus grimace	0	N95	
2.5	348.2	non-adversarial, Trident RTCFFP2 regular	348	398	375	291										Tester_FTTP_AM	2023_06_14			0	P2	
0.4	2.7	Optrel 4190.020 TC-84A9434 N95	10	5	2.9	2.6	2.4	2.3	2.5	2.3	2.3	2.2	2.3	2.1		Tester_FTTP_AF	2023_07_14			1	N95	H
0.2	1.5	Optrel 4190.020 TC-84A9434 N95	5.1	3.1	2.3	2.2	2.3	1.2	1.2	1.8	1	1.1	1	1.1		Tester_FTTP_AM	2023_07_14	2.5	Crash2.5	1	N95	H
0.6	4.1	Ornate unspecified vertical bi-fold sent in by Sophie	4.3	3.1	8.3	2.8	2.7	2.4	8.1	6.8	5.6	3.9	4	7.5		Tester_FTTP_AM	2023_04_25		Crash	1	KN95	E
4.6	35923.5	PAPR - Ford Limited Use Blower	38300	34100	35800	34100	38700	37900	33400							n/a no human	2023_01_13			1		PAPR
4.5	31934.7	PAPR - M207 on Ford PAPR w  (to prevent measuring user emission) - probe at side	82500	44600	52300	52500	34600	51400	29200	12800	21800	46500	39300	20200					Crash	0		PAPR
4	10733.6	PAPR - M207 on Ford PAPR w aura  (to prevent measuring user emission), PROBE AT CHIN	220000	21500	16500	27600	21900	8110	1740	19100	27500	22100	47600	14000					Crash	1		PAPR
4.3	20185.6	PAPR - M207 on Ford PAPR, probe at chin, no mask inside	22300	13200	16900	30600	18000	88000	50700	12200	30800	14600	11000	46400					Crash	1		PAPR
3.4	2728.6	PAPR - M207 on HX5 PAPR (no mask to recapture exhaled air), PROBE at CHIN, lower airflow than Ford	2570	2320	2970	2860	2370	2630	3020	2750	2710	2870		3220					Crash	1		PAPR
4.1	12589.4	PAPR - RPB HX5 blower	13500	12600	12900	12800	11600	12300									n/a no human	2023_01_13	Crash2023_01_13	1		PAPR
4.9	84585	PAPR 3m 6035 on MAMTAK (no rechargeable battery - one time use for chem attack) test01	92800	94100	51000	103000	94200	107000	92800	86900	96500	115000	65400	68700		n/a no human	2023_08_11	n/a		2		PAPR
5.1	128719.4	PAPR 3m 6035 on MAMTAK (no rechargeable battery - one time use for chem attack) test02	82300	102000	104000	96000	151000	121000	149000	143000	177000	173000	208000	156000		n/a no human	2023_08_11			2		PAPR
5.5	289842.7	PAPR 3m 6035 on MAMTAK (no rechargeable battery - one time use for chem attack) test03	258000	157000	230000	267000	260000	285000	282000	368000	434000	462000	635000	294000		n/a no human	2023_08_11			2		PAPR
5.5	320988.2	PAPR 3m 6035 on MAMTAK (no rechargeable battery - one time use for chem attack) test04	535000	526000	512000	195000	266000	253000	217000	208000	736000	609000	585000	213000		n/a no human	2023_08_11			2		PAPR
4.9	78157	PAPR 3M TR300 blower	76800	80000	74200	123000	84700	59600	72200								n/a no human	2023_01_13	Crash2023_01_13	1		PAPR
3.2	1552.8	PAPR gum challenge TR300 m207	237	7660	674	1580	1800	34900	14400	3470	4660	14800	60200	48500		Tester_FTTP_AM	2023_07_21			5		PAPR
5.8	597660.4	PAPR Optrel e3000x w/Grinding helmet	380000	384000	691000	415000	871000	999000	875000	999000					Fan speed: low. Breathing moderately through nose, active office work using laptop and cellphone without speaking.	Tester_Toba	2023_05_02			1		PAPR
5.1	140662	PAPR TR-300 from ebay, filter with 300 hours, candle fume 30k	926000	56500	187000	232000										Tester_FTTP_AM	2023_07_11		Crash	1		PAPR
4.6	44095	PAPR TR-300 from ebay, filter with 300 hours, water vapor 10k	45800	34500	43100	62400	51700	57300	32700	30600	49500	36000	62600	55300	10000 water vapor	Tester_FTTP_AM	2023_07_11		Crash	1		PAPR
4.8	61043.7	PAPR TR-300 from ebay, fresh filter, candle fume 30k	57000	78000	72600	62700	41600	70600								Tester_FTTP_AM	2023_07_11		Crash	1		PAPR
2.2	176.2	PAPR TR300 half orzbow - opening 12" x 8"	140	9290	4040	1390	7270	7680	32							Tester_FTTP_AM	2023_04_02		Crash	1		PAPR
1.9	75.4	Pinztec RTCFFP2E (no foam)	121	41	123	130	44	135	112	41	110	151	47	98		Tester_CA	2023_05_27			1	KN95	H
1.8	63.3	Pinztec RTCFFP2E (no foam)	113	39	80	126	39	118	108	33	103	99	33	92		Tester_CA	2023_05_27		CrashUM	1	KN95	H
1.9	72.5	Pinztec RTCFFP2S	108	50	134	123	29	130	136	38	110	106	54	128		Tester_CA	2023_06_14			1	KN95	H
1.8	63.3	Pinztec RTCFFP2S	113	39	80	126	39	118	108	33	103	99	33	92		Tester_CA	2023_05_27			1	KN95	H
1.7	45.6	Pinztec RTCFFP2S	32	27	76	159										Tester_CA_4M	2023_05_29		CrashUMshort	1	KN95	H
2.1	122.9	Pinztec RTCFFP2S	94	111	163	148										Tester_CA_5M_R	2023_06_11		CrashUMshort	1	KN95	H
2	104.9	Pinztec RTCFFP2S	101	60	165	182										Tester_CA_5M_R	2023_06_11		CrashUMshort	1	KN95	H
1.9	78.5	Pinztec RTCFFP2S	120	133	125	87	118	69	62	77	43	56	81	84		Tester_FTTP_AF	2023_06_02		Crash	1	KN95	H
1.9	72.3	Pinztec RTCFFP2S	111	155	131	90	106	54	52	47	55	57	69	77		Tester_FTTP_AF	2023_06_02		Crash	1	KN95	H
2	93.8	Pinztec RTCFFP2S	90	87	84	112	127	85	127	87	122	92	56	116	water vapor 5K	Tester_FTTP_AM	2023_06_02		Crash	1	KN95	H
1.9	72.2	Pinztec RTCFFP2S	110	55	72	55	41	59	65	74	73	175	176	87	ambient 3k transitioning to water vapor 4K	Tester_FTTP_AM	2023_06_02		Crash	1	KN95	H
1.8	67.6	Pinztec RTCFFP2S	74	68	83	86	114	66	52	36	52	78	72	114	water vapor 6K	Tester_FTTP_AM	2023_06_02		Crash	1	KN95	H
0.2	1.5	Plastic sheet control	1.5	1.6	1.6	1.4	1.5	1.7	1.4	1.3					examining the gradient caused by lung filtration	Tester_FTTP_AM	2023_08_03	2.5	Crash2.5	3		SingleHeadbandEarsaver
0.1	1.4	Plastic sheet control	1.6	1.3	1.3	1.3									examining the gradient caused by lung filtration	Tester_FTTP_AM	2023_08_03	2.5	Crash2.5	3		SingleHeadbandEarsaver
0.5	3.2	Posh KF94	6.5	4.8	4.2	2.4	2.7	2.8	2.6	2.5	3.7	2.9	3.7	3.1		Tester_FTTP_AM	2023_05_01		Crash	1	KF94	E
1.5	29.6	Powecom 1861 KN95	39	37	28	26	28	25								Tester_NOMS_AM	2023_08_15	2	CrashFTTP-like, improvised spacers	1	KN95	H
1.4	28	Powecom 1861 KN95	24	30	29	24	32	31								Tester_NOMS_AM	2023_08_26	2	CrashFTTP-like, improvised spacers	1	KN95	H
1.4	27.8	Powecom 1861 KN95	30	25	24	32	23	27	32	25	34	31	25	31		Tester_NOMS_AM	2023_08_10	2	CrashFTTP-like, improvised spacers	1	KN95	H
1.3	21.8	Powecom 1861 KN95	22	19	16	25	27	25	32	18	22	22	19	23		Tester_NOMS_AM	2023_08_26	2	CrashFTTP-like, improvised spacers	1	KN95	H
1.2	16.1	Powecom KN95 black earloop	22	19	20	10	16									Tester_CA_11M_N	2023_06_01			1	KN95	E
0.5	3.1	Powecom KN95 black earloop	4.1	4.6	3.5	3.3	2.9	3.2	3.3	3.6	3	2.4	2.5	2.2		Tester_FTTP_AM	2023_02_12		Crash	1	KN95	E
0.5	3	Powecom KN95 black earloop	4.3	4.2	3.4	3.1	1.9	2	3.3	4.2	2.7	2.9	2.9	3.8		Tester_FTTP_AM	2023_02_12		Crash	1	KN95	E
0.4	2.6	Powecom KN95 double headband	2.7	2.6	2.6	2.5	2.7	1.5	2.2	2.5	2.6	2.9	3.6	4		Tester_FTTP_AF	2023_03_14			1	KN95	H
0.9	7.3	Powecom KN95 double headband	22	25	9.7	6.2	6.6	5.7	6.9	4.8	6.3	6.8	5.4	8.1		Tester_FTTP_AM	2023_02_09		Crash	1	KN95	H
0.8	6.8	Powecom KN95 double headband	11	13	11	6.1	7.1	8.8	7.3	5.3	5.2	6.8	4.8	4.7		Tester_FTTP_AM	2023_02_10		Crash	1	KN95	H
0.9	8.4	Powecom KN95 pink earloop	7.5	5.4	6.9	17	14									Tester_CA_AF_J	2023_06_01		CrashUMshort	1	KN95	E
0.6	4.1	Powecom KN95 pink earloop	99	6.8	13	20	3.5	4	4	2.1	3	2.8	3.2	2.6	Came off nose with jaw movement	Tester_LP_AF	2023_08_22	2.5	Crash2.5	1	KN95	E
0.5	3.1	Powecom KN95 pink earloop	191	9.6	7.1	22	2.2	2.2	2.1	1.8	1.9	2.1	2.9	3.5	Came off nose with jaw movement	Tester_LP_AF	2023_08_22	2.5	Crash2.5	1	KN95	E
0.6	3.7	Powecom KN95 Protective Mask	9.9	6.5	4.4	3	2.2	2.6	2.3	2.5	4.4	11	7.8	3.5		Tester_FTTP_AM	2023_01_19		CrashUM	1	KN95	E
0.4	2.7	PPETech P2	2.6	2	1.2	3.4	2.4	2.8	2.9	3.6	4	3.4	3.2	4	amb	Tester_FTTP_AM	2023_03_14		Crash	1	P2	E
0.4	2.4	PrescientX Breathe, BMBM, headbands, default	2.4	2.4	2.2	2.4	2.6	2.3	2.3	2.5	2.3	2.3	2.4	2.5	ambient	Tester_FTTP_AM	2023_03_16		Crash	1		H
0.3	1.9	PrescientX Breathe2, B2TC-B, default, headbands, no cord lock	1.9	2	2	1.8	1.7	1.5	1.7	1.9	2	2.4	2.9	2.1	ambient, not even a torture test.	Tester_FTTP_AM	2023_03_16		Crash	1		H
0.5	3.4	Protective Brand KN95	2.2	2.5	2.5	3	3.7	2.8	3.9	3.6	4.9	7	5.7	4.2		Tester_FTTP_AM			CrashUM	1	KN95	E
1.6	40.4	Readimask	54	44	45	43	31	38	30	31	33	58	51	53		0	2023_05_28		Crash	1	N95	Adhesive
1.5	32.8	Readimask	25	46	27	39	33	27	37	39	36	31				Tester_FTTP_AM			CrashUM	1	N95	Adhesive
1.5	31.3	Readimask	28	23	15	27	28	22	44	55	51	51	62	43	ex 3 rainbow passage	Tester_FTTP_AM	2022_01_27		CrashUM	1	N95	Adhesive
2.4	259.5	Readimask L	315	143	448	582	146	389	246	310					No screen	Tester_LP_AF	2023_08_26		OSHA plus grimace	1	N95	Adhesive
2.3	203.9	Readimask L	621	166	232	282	74	777	145	490					Concave screen ensuring airflow to probe	Tester_LP_AF	2023_08_26		OSHA plus grimace	1	N95	Adhesive
2.1	133.5	Readimask L	211	64	239	181	134	137	124	142					No screen	Tester_LP_AF	2023_08_26		OSHA plus grimace	1	N95	Adhesive
2.1	123.6	Readimask L	374	143	318	169	46	157	150	89					Concave screen ensuring airflow to probe	Tester_LP_AF	2023_08_26		OSHA plus grimace	1	N95	Adhesive
1.9	86.5	Readimask L	74	114	72	178	60	153	54	111					Concave screen ensuring airflow to probe,  alternating vocalizing passage, mouthing passage	Tester_LP_AF	2023_08_26		Experiment	1	N95	Adhesive
1.7	55.2	Readimask L	42	46	45	57	63	80	61	67					Concave screen ensuring airflow to probe, yellow N95 size ,  exercising, silent	Tester_LP_AF	2023_08_26		Experiment	1	N95	Adhesive
1.2	15.7	Readimask S	28	23	9.6	14										Tester_CA_4M	2023_05_24		CrashUMshort	1	N95	Adhesive
1.8	68.7	Readimask S	182	92	117	70	40	113	27	158					Concave screen ensuring airflow to probe, yellow N95 size	Tester_LP_AF	2023_08_26		OSHA plus grimace	1	N95	Adhesive
1.3	21.3	Readimask S	21	14	17	37	34								No screen, yellow N95 size	Tester_LP_AF	2023_08_26		CrashUMshort	1	N95	Adhesive
0.7	5.4	Respokare N95 medium - RK-200-3041A	163	75	24	30	7.8	4	4.9	3.5	3.2	2.9	2.3	5.7	ambient	Tester_FTTP_AM	2023_03_15		Crash	1	N95	H
0.3	2.2	Reynard RHS919B	2.5	2	1.8	2.2	2.3	2.6	2.2	1.9	2.2	2.5	2.3	2.4		Tester_NOMS_AM	2023_07_17	2	CrashFTTP-like, improvised spacers	1	ASTM Level 2	E
0.5	3.4	RosimaskRM19930	5.2	3.8	2.3	3	3.2	3.3	4.9	4.7	2.8	3.2	3.3	3.7						1	FFP2	H
0.5	3.2	RosimaskRM19930	4.9	3.1	2.7	3.2	3.4	2.5	3	3.1	2.7	3.9	4.3	3.3						1	FFP2	H
0.5	3.5	Rsenr Fashion Powered Mask	3.3	3.9	3.7	3.8	3									Tester_FTTP_AF	2023_04_01			1		SingleHeadbandEarsaver
0.6	4	Rsenr Fashion Powered Mask	4.1	4	4.3	4.4	3.7	3.8	3	3.5	4.2	5	4.8	4.7		Tester_FTTP_AM	2023_03_31		Crash	1		SingleHeadbandEarsaver
0.5	3	Rsenr Fashion Powered Mask, blower off	3.1	2.5	3.1	2.9	3	2.9	3.2	3.3	3.2					Tester_FTTP_AM	2023_04_01		Crash	1		SingleHeadbandEarsaver
0.6	3.7	Safety Mask KN95	4.5	5.2	4.9	3	3	3.2	3.3	4	2.6	4.3	4.6	3.7	(sent in by Stephan)	Tester_FTTP_AM	2023_03_17		Crash	1	KN95	E
1.2	14.9	Savewo 3D Bear (on adult)	25	15	12	13	12	17	18	15	13	19	11	18	ow my ears	Tester_FTTP_AM	2023_03_31		Crash	1	KN95	
1.6	39.3	Savewo 3D5PX-H	22	35	24	145	56	83								Tester_FTTP_AF	2023_03_09			1	FFP3	H
1.5	33.6	Savewo 3D5PX-H	62	123	59	83	17	21	27	24						Tester_FTTP_AF	2023_03_09			1	FFP3	H
2.2	156.8	Savewo 3D5PX-H	278	282	143	158	147	134	156	178	123	132	151	134	candles 1E6	Tester_FTTP_AM	2023_03_17		Crash	1	FFP3	H
2.2	149.5	Savewo 3D5PX-H	98	117	149	140	137	209	214	170	147	200	145	158	candles 1E6	Tester_FTTP_AM	2023_03_17		Crash	1	FFP3	H
2.1	132.7	Savewo 3D5PX-H	313	315	267	202	280	217	28	292	75	217	258	160	machine3, 5k candle. Leak at the R eye	Tester_FTTP_AM	2023_03_09		Crash	1	FFP3	H
2.1	132.2	Savewo 3D5PX-H	528	142	91	524	62	270	64	175	338	276	61	208	3 blue, 5 david byrne, 7 dr seuss	Tester_FTTP_AM	2023_03_10		Crash	1	FFP3	H
2.1	117.3	Savewo 3D5PX-H	194	335	279	220	374	213	294	495	114	55	40	47		Tester_FTTP_AM	2023_05_26		Crash	1	FFP3	H
1.9	77	Savewo 3D5PX-H	135	248	85	131	76	44	71	114	100	79	54	40	machine3, 5k candle. Leak at the R eye	Tester_FTTP_AM	2023_03_09		Crash	1	FFP3	H
1.5	30.6	Savewo 3D5PX-H	63	45	12	71	43	33	39	36	33	24	44	18	machine3, 1500 ambient. Leak at the R eye	Tester_FTTP_AM	2023_03_09		Crash	1	FFP3	H
0.7	4.5	Savewo earloop smile	5.7	3.7	3.8	3.2	3.5	3.7	4.4	6	5.2	5.7	7	5.3		Tester_FTTP_AM	2023_03_09		Crash	1		E
2.1	139.6	Shawmut Protex Cup SR9520S Small	146	130	120	132	98	174	193	97	215	219	120	154		Tester_0022_AF	2023_11_07	2.5	Crash2.5	6	N95	H
0.4	2.8	Shigematsu DD02-N95-2K 32101-D	6.3	6.5	7.2	2.8	4.4	3.9	3.1	2.9	1.7	1.8	2	1.5	ex9 - fell off nose	Tester_FTTP_AM	2023_05_26		Crash	1	N95	H
1	10.1	Shining Star SS6001-N95	24	16	16	12	9.7	8.1	9	10	10	9.9	6.5	6.9		Tester_FTTP_AM	2023_05_26		Crash	1	N95	H
0.9	8	Shining Star SS6001-N95	23	24	22	9.4	6.4	7.6	7.2	5.4	6.7	4.7	9.6	5.4		Tester_FTTP_AM	2023_05_26		Crash	1	N95	H
0.3	2.1	Siegmund Air FFP2	23	2.6	2.5	2.4	1.8	2.3	2.2	1.7	2.1	1.6	1.5	1.6		Tester_FTTP_AM	2023_08_12		Crash	1	FFP2	E
0.3	1.9	Siegmund Air FFP2	10	5.9	4	3.9	3.7	1.2	1.4	1.4	1.3	1.2	1.3	1.3		Tester_FTTP_AM	2023_08_12	2.5	Crash2.5	1	FFP2	E
1.6	41.5	Siegmund Model JFM04 Jifa (vertical bifold)	160	137	43	112	37	34	27	32	28	25	37	63		Tester_FTTP_AM	2023_01_30		Crash	1	FFP3	H
1.4	22.7	Siegmund Model JFM04 Jifa (vertical bifold)	57	27	20	39	17	18	25	14	21	46	25	16	Bread twist tie nosewire ex3-rainbow, ex5 david byrne, ex7 blue	Tester_FTTP_AM	2023_01_30		Crash	1	FFP3	H
1.3	21.3	Siegmund Model JFM04 Jifa (vertical bifold)	133	72	56	47	71	36	11	16	8.4	16	13	20	ex7 max jaw opening test	Tester_FTTP_AM	2023_01_30		Crash	1	FFP3	H
0.3	2.1	Siegmund Modell "Siegmund Air" FFP2 2233	4.6	3.3	3	3	1.5	2.4	7.2	3.3	1.2	1.4	1.4	1.4		Tester_FTTP_AM	2023_08_03	2.5	Crash2.5	1	FFP2	H
0.3	2	Siegmund Modell "Siegmund Air" FFP2 2233	2.8	3.2	3	2.8	1.5	1.6	1.7	1.6	3	1.3	1.4	2.7		Tester_FTTP_AM	2023_08_03	2.5	Crash2.5	1	FFP2	H
0.8	6.4	Sky Screen 8861 FFP2	8.8	11	5.6	4.9	7.1	4.8	6.8	5.8	5.3	10	6.3	6		Tester_FTTP_AM			CrashUM	1	FFP2	E
2.5	329.1	Softmed SM-RA201 P2	359	240	312	464	237	393	603	199	721	441	217	409		Tester_NOMS_AM	2023_08_07	2	CrashFTTP-like, improvised spacers	1	P2	H
2.3	184.5	Softmed SM-RA201 P2	139	180	166	197	221	135	173	195	276	224	154	265		Tester_NOMS_AM	2023_07_02	2	CrashFTTP-like, improvised spacers	6	P2	H
2.3	182.7	Softmed SM-RA201 P2	201	168	162	268	242	132	195	197	183	175	165	175		Tester_NOMS_AM	2023_07_08	2	CrashFTTP-like, improvised spacers	1	P2	H
2	101	Softmed SM-RA201 P2	109	55	160	223	63	172	143	59	155	240	53	180		Tester_NOMS_AM	2023_06_27	Unknown	CrashUM	1	P2	H
1.2	15.4	Softmed SM-SR201 P2	97	60	38	84	49	94	5.5	25	6.7	7.4	34	6.8		Tester_NOMS_AM	2023_06_27	Unknown	CrashUM	6	P2	H
0.6	4.3	Softmed SM-SR201 P2	9.4	5.6	3.2	3	4.2									Tester_NOMS_AM	2023_07_22	2	CrashFTTP-like, improvised spacers	1	P2	H
1.3	21.3	Sperian 1139 S N99	18	26												Tester_FTTP_AM	2023_04_28		Crash	1	N99	H
0.9	7.6	Sperian N1125 ML N95	60	33	11	12	4.3	5.6	6.9	6.4	7	7.4	6.8	4.4		Tester_FTTP_AM	2023_06_19		Crash	1	N95	H
1.3	21.9	Sperian N1125 S N95	14	10	33	179	25	24	30	30	31	14	28	19		Tester_FTTP_AM	2023_06_23		Crash	1	N95	H
