Knockdown (Log10 of M41 HMFF/N99mode HMFF)	HMFF	Model	exer 01	exer 02	exer 03	exer 04	exer 05	exer 06	exer 07	exer 08	exer 09	exer 10	exer 11	exer 12	Notes	Tester	Test Date	MJA(cm) Max Jaw Amplitude	DeclaredProtocol	Acode	NON-3NF - LegacyCerts	NON-3NF - AttachmentType (non normalized, this should go in model table)
2.4	247.4	3M Aura 9210+	241	658	218	187	302	320	158	422	257	178	168	433		Tester_FTTP_AM			CrashUM	1	N95	H
2.4	240.8	3M Aura 9210+	288	206	503	164	288	315	334	231	163	208	175	358		Tester_FTTP_AM			CrashUM	1	N95	H
2.3	209.8	3M Aura 9210+		389	215	154	174	128	228	309	156	224		527		Tester_FTTP_AM			CrashUM	1	N95	H
2.3	197.5	3M Aura 9210+	157	156	154	174	324	373	410	159	222	168	191	180	pinched nose at exercise 5(usually not allowed after start)	Tester_FTTP_AM			CrashUM	1	N95	H
2.3	189.8	3M Aura 9210+	379	389	644	505	118	151	256	112	87	180	279	169	ambient	Tester_FTTP_AM	2023_03_10		Crash	1	N95	H
2.3	182.3	3M Aura 9210+	198	437	398	258	296	254	240	171	100	101	107	181	with tall fonts LOT 211043	Tester_FTTP_AM	2023_04_15		Crash	1	N95	H
2.2	173.5	3M Aura 9210+	174	116	182	116	203	133	123	157	354	531	225	219		Tester_FTTP_AM			CrashUM	1	N95	H
2.2	171.6	3M Aura 9210+	239	162	198	274	318	111	415	68	211	238	288	109	6 rainbow, 8 blue, 12 david byrne	Tester_FTTP_AM	2023_02_09		Crash	1	N95	H
2.2	167.4	3M Aura 9210+	205	116	130	208	358	142	426	402	217	157	168	71		Tester_FTTP_AM	2023_01_12		CrashUM	1	N95	H
2.2	161.1	3M Aura 9210+	910	486	375	236	237	53	90	246	170	250	171	96		Tester_FTTP_AM	2023_04_02		Crash	1	N95	H
2.2	159.6	3M Aura 9210+	200	195	192	224	285	446	319	102	117	65	113	254	mepilex on face	Tester_FTTP_AM			CrashUM	1	N95	H
2.2	158.9	3M Aura 9210+	150		260		151	175	122		166	176	142	146		Tester_FTTP_AM			CrashUM	1	N95	H
